developer,sentiment-analysis
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",0.0
"Big Huge Games,38 Studios",2.0
Robot Entertainment,1.0
Robot Entertainment,2.0
Robot Entertainment,2.0
Robot Entertainment,0.0
Robot Entertainment,2.0
Robot Entertainment,2.0
Red Duck Inc.,0.0
Red Duck Inc.,0.0
Red Duck Inc.,0.0
Red Duck Inc.,1.0
Red Duck Inc.,2.0
Red Duck Inc.,1.0
Red Duck Inc.,0.0
Red Duck Inc.,1.0
Red Duck Inc.,2.0
Red Duck Inc.,2.0
Klei Entertainment,2.0
Klei Entertainment,1.0
Klei Entertainment,2.0
Trapdoor Inc.,2.0
Cobra Mobile,2.0
Big Fat Alien,0.0
Big Fat Alien,2.0
Big Fat Alien,0.0
Big Fat Alien,0.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,1.0
Uber Entertainment,0.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,0.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,1.0
Uber Entertainment,0.0
Uber Entertainment,1.0
Uber Entertainment,2.0
Uber Entertainment,2.0
Uber Entertainment,2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",2.0
"Trek Industries, Inc",1.0
"Trek Industries, Inc",0.0
"Trek Industries, Inc",0.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",0.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",0.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",0.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",0.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",0.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",0.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.0
Daedalic Entertainment,0.0
State of Play Games,2.0
Manic Game Studios,2.0
Manic Game Studios,0.0
Twisted Pixel Games,2.0
Ensemble Studios,1.0
Ensemble Studios,1.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,1.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,0.0
Ensemble Studios,1.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,1.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,0.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,0.0
Ensemble Studios,1.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,2.0
Ensemble Studios,0.0
Ensemble Studios,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,0.0
Re-Logic,0.0
Re-Logic,2.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,1.0
Re-Logic,2.0
Re-Logic,1.0
